GoldID;Identifier symbol;Identifier name;Formula QID;Identifier QID;ISQ dimension (P4020);recommended unit of measurement (P8111);numeric value (P1181)
310;a;acceleration;Q11376;Q11376;\mathsf{L} \mathsf{T}^{-2};;
310;v;velocity;Q11376;Q11465;;;
310;t;duration;Q11376;Q2199864;;;
311;\alpha;angular acceleration;;;;;
311;\omega;angular velocity;;;;;
311;t;duration;;;;;
312;\omega;angular frequency;;;;;
312;\pi;\pi;;;;;
312;f;frequency;;;;;
313;L;angular momentum;;;;;
313;r;position vector;;;;;
313;\times;cross product;;;;;
313;p;momentum;;;;;
314;\omega;angular velocity;;;;;
314;\varphi;angular displacement;;;;;
314;t;duration;;;;;
314;u;unit vector;;;;;
315;i;nominal number;;;;;
315;m;mass;;;;;
315;r;position vector;;;;;
315;R;center of mass;;;;;
316;a;centripetal acceleration;;;;;
316;v;velocity;;;;;
316;r;radius of curvature;;;;;
317;F;force;;;;;
317;m;mass;;;;;
317;v;velocity;;;;;
317;r;unit vector;;;;;
317;r;radius;;;;;
318;C;circumference;;;;;
318;\pi;pi;;;;;
318;d;diameter;;;;;
318;r;radius;;;;;
319;E;energy;;;;;
319;energy;E;;;;;
320;p;momentum;;;;;
320;momentum;p;;;;;
321;\zeta;damping;;;;;
321;c;constant;;;;;
321;m;mass;;;;;
321;k;spring constant;;;;;
321;damping;\zeta;;;;;
321;constant;c;;;;;
321;mass;m;;;;;
321;spring constant;k;;;;;
322;i;imaginary unit;;;;;
322;\hbar;reduced Planck constant;;;;;
322;\partial;partial derivative symbol;;;;;
322;\Psi;wave function;;;;;
322;t;duration;;;;;
322;c;speed of light;;;;;
322;p;momentum;;;;;
322;m;mass;;;;;
322;imaginary unit;i;;;;;
322;reduced Planck constant;\hbar;;;;;
322;partial derivative symbol;\partial;;;;;
322;wave function;\Psi;;;;;
322;duration;t;;;;;
322;speed of light;c;;;;;
322;momentum;p;;;;;
322;mass;m;;;;;
323;i;imaginary unit;;;;;
323;\gamma;Lorentz factor;;;;;
323;e;tetrad formalism;;;;;
323;D;differential operator;;;;;
323;\Psi;wave function;;;;;
323;m;mass;;;;;
323;imaginary unit;i;;;;;
323;Lorentz factor;\gamma;;;;;
323;tetrad formalism;e;;;;;
323;differential operator;D;;;;;
323;wave function;\Psi;;;;;
323;mass;m;;;;;
324;U;elastic energy;;;;;
324;k;spring constant;;;;;
324;x;linear strain;;;;;
324;elastic energy;U;;;;;
324;spring constant;k;;;;;
324;linear strain;x;;;;;
325;F;Lorentz force;;;;;
325;q;electric charge;;;;;
325;E;electric field;;;;;
325;v;velocity;;;;;
325;B;magnetic field;;;;;
325;Lorentz force;F;;;;;
325;electric charge;q;;;;;
325;electric field;E;;;;;
325;velocity;v;;;;;
325;magnetic field;B;;;;;
326;F;force;;;;;
326;q;electric charge;;;;;
326;pi;pi;;;;;
326;\epsilon;vacuum permittivity;;;;;
326;r;distance;;;;;
326;r;unit vector;;;;;
326;force;F;;;;;
326;electric charge;q;;;;;
326;pi;pi;;;;;
326;vacuum permittivity;\epsilon;;;;;
326;distance;r;;;;;
326;unit vector;r;;;;;
327;E;energy;;;;;
327;p;momentum;;;;;
327;c;speed of light;;;;;
327;m;mass;;;;;
327;energy;E;;;;;
327;momentum;p;;;;;
327;speed of light;c;;;;;
327;mass;m;;;;;
328;v;escape velocity;;;;;
328;e;gravitational constant;;;;;
328;G;gravitational mass;;;;;
328;M;distance;;;;;
328;r;gravitational acceleration;;;;;
328;g;v;;;;;
328;escape velocity;e;;;;;
328;gravitational constant;G;;;;;
328;gravitational mass;M;;;;;
328;distance;r;;;;;
328;gravitational acceleration;g;;;;;
329;t;duration;;;;;
329;\partial;partial derivative symbol;;;;;
329;L;Lagrangian;;;;;
329;q;generalized velocity;;;;;
329;q;generalized coordinate;;;;;
329;duration;t;;;;;
329;partial derivative symbol;\partial;;;;;
329;Lagrangian;L;;;;;
329;generalized velocity;q;;;;;
329;generalized coordinate;q;;;;;
330;F;force;;;;;
330;p;momentum;;;;;
330;t;duration;;;;;
330;force;F;;;;;
330;momentum;p;;;;;
330;duration;t;;;;;
331;p;momentum;;;;;
331;E;energy;;;;;
331;c;speed of light;;;;;
331;momentum;p;;;;;
331;energy;E;;;;;
331;speed of light;c;;;;;
332;U;velocity;;;;;
332;R;location;;;;;
332;\tau;proper time;;;;;
332;velocity;U;;;;;
332;location;R;;;;;
332;proper time;\tau;;;;;
333;v;velocity;;;;;
333;g;gravitational acceleration;;;;;
333;t;duration;;;;;
333;velocity;v;;;;;
333;gravitational acceleration;g;;;;;
333;duration;t;;;;;
334;f;frequency;;;;;
334;T;period;;;;;
334;frequency;f;;;;;
334;period;T;;;;;
335;F;friction;;;;;
335;\mu;coefficient of friction;;;;;
335;F;normal force;;;;;
335;friction;F;;;;;
335;coefficient of friction;\mu;;;;;
335;normal force;F;;;;;
336;t;duration;;;;;
336;x;location;;;;;
336;s;delay;;;;;
336;R;rotation matrix;;;;;
336;v;velocity;;;;;
336;y;displacement;;;;;
336;duration;t;;;;;
336;location;x;;;;;
336;delay;s;;;;;
336;rotation matrix;R;;;;;
336;velocity;v;;;;;
336;displacement;y;;;;;
337;p;generalized momentum;;;;;
337;\partial;partial derivative symbol;;;;;
337;L;Lagrange function;;;;;
337;q;generalized velocity;;;;;
337;generalized momentum;p;;;;;
337;partial derivative symbol;\partial;;;;;
337;Lagrange function;L;;;;;
337;generalized velocity;q;;;;;
338;g;gravitational acceleration;;;;;
338;G;gravitational constant;;;;;
338;M;mass;;;;;
338;R;radius;;;;;
338;r;position vector;;;;;
338;gravitational acceleration;g;;;;;
338;gravitational constant;G;;;;;
338;mass;M;;;;;
338;radius;R;;;;;
338;position vector;r;;;;;
339;F;force;;;;;
339;G;gravitational constant;;;;;
339;m;mass;;;;;
339;r;distance;;;;;
339;force;F;;;;;
339;gravitational constant;G;;;;;
339;mass;m;;;;;
339;distance;r;;;;;
340;U;potential;;;;;
340;G;gravitational constant;;;;;
340;M;mass;;;;;
340;m;mass;;;;;
340;r;distance;;;;;
340;potential;U;;;;;
340;gravitational constant;G;;;;;
340;mass;M;;;;;
340;mass;m;;;;;
340;distance;r;;;;;
341;H;Hamiltonian operator;;;;;
341;q;generalized coordinate;;;;;
341;p;generalized momentum;;;;;
341;t;duration;;;;;
341;L;Lagrange function;;;;;
341;q;generalized velocity;;;;;
341;Hamiltonian operator;H;;;;;
341;generalized coordinate;q;;;;;
341;generalized momentum;p;;;;;
341;duration;t;;;;;
341;Lagrange function;L;;;;;
341;generalized velocity;q;;;;;
342;\partial;partial derivative symbol;;;;;
342;S;action;;;;;
342;t;duration;;;;;
342;H;Hamiltonian function;;;;;
342;partial derivative symbol;\partial;;;;;
342;action;S;;;;;
342;duration;t;;;;;
342;Hamiltonian function;H;;;;;
343;F;force;;;;;
343;k;spring constant;;;;;
343;X;linear strain;;;;;
343;force;F;;;;;
343;spring constant;k;;;;;
343;linear strain;X;;;;;
344;\zeta;jerk;;;;;
344;\alpha;acceleration;;;;;
344;t;duration;;;;;
344;jerk;\zeta;;;;;
344;acceleration;\alpha;;;;;
344;duration;t;;;;;
345;T;kinetic energy;;;;;
345;m;mass;;;;;
345;v;speed;;;;;
345;kinetic energy;T;;;;;
345;mass;m;;;;;
345;speed;v;;;;;
346;L;Lagrangian operator;;;;;
346;T;kinetic energy;;;;;
346;V;potential energy;;;;;
346;Lagrangian operator;L;;;;;
346;kinetic energy;T;;;;;
346;potential energy;V;;;;;
347;\gamma;Lorentz factor;;;;;
347;v;velocity;;;;;
347;c;speed of light;;;;;
347;Lorentz factor;\gamma;;;;;
347;velocity;v;;;;;
347;speed of light;c;;;;;
348;F;Lorentz force;;;;;
348;q;electric charge;;;;;
348;E;electric field;;;;;
348;v;velocity;;;;;
348;B;magnetic field;;;;;
348;Lorentz force;F;;;;;
348;electric charge;q;;;;;
348;electric field;E;;;;;
348;velocity;v;;;;;
