GoldID;QID;Definining Formula Wikidata;Working LaTeX Input 1;Working LaTeX Input 2;Defining Formula Sympy 1;Defining Formula Sympy 2;Trafo 1;Trafo 2;Trafo 3;Trafo 4;Trafo 5;TODO;;Comment
310;Q11376;\\boldsymbol{a} = \\frac{\\mathrm{d} \\boldsymbol{v}}{\\mathrm{d} t};a = \frac{d v}{d t};;Derivative(v t);;;\boldsymbol{x} -> x;\mathrm{x} -> x;;;;;
311;Q186300;\boldsymbol{\alpha} = \frac{\mathrm{d} \boldsymbol{\omega}}{\mathrm{d} t};;;;;;;;;;;;
312;Q834020;\omega = 2 \pi f;\omega = 2 \pi f;;2*pi*f;;;;;;;;;
313;Q161254;\mathbf{L} = \mathbf{r} \times \mathbf{p};L = R \times p;;L;R*p;r -> R;\mathbf{x} -> x;;;;;;
314;Q161635;\boldsymbol{\omega} = \frac{\mathrm{d} \varphi}{\mathrm{d} t} \boldsymbol{u};\omega = \frac{\mathrm{d} \varphi}{\mathrm{d} t} u;;omega;u*Derivative(varphi, t);\boldsymbol{x} -> x;\mathrm{x} -> x;;;;;;
315;Q2945123;\sum_{i=1}^n m_i(\mathbf{r}_i - \mathbf{R}) = 0;;;;;;;;;;;;Not sure what to do.
316;Q2248131;a_c = \frac {v^2} {r};a_{b} = \frac{a^2}{b};;a_b  = a**2/b;;;;;;;;;
317;Q172881;\vec{F} = - \frac{mv^2 \hat{r}}{r};-;;-;;\vec{x} -> x ;\hat{x} -> x;;;;;;
318;Q843905;C=\pi\cdot{d}=2\pi\cdot{r};C=\pi\cdot{d};C = 2 \pi\cdot{r};\pi\cdot{d};;;;;;;;;\cdot{r} works perfect {r} for all other alphabets. 
319;Q11382;E_{tot,1} = E_{tot,2};a_{tot,1};a_{tot,2};;;;;;;;;;"Does not work for ""E_""."
320;Q2305665;p_{tot,1} = p_{tot,2};p_{tot,1} = p_{tot,2};;;;;;;;;;;Only shows right hand side for any equation.
321;Q1127660;\zeta = \frac{c}{2\sqrt{mk}};-;-;-;;;;;;;;;\zeta -> zeta and \sqrt{mk} -> sqrt(k*m) works well.
322;Q272621;i\hbar\frac{\partial \Psi}{\partial t} = (c\hat \boldsymbol \alpha \cdot \hat \boldsymbol p + mc^2\hat \beta)\Psi;-;-;-;;\Psi -> Psi;\alpha -> alpha;\beta -> beta;;;x;;\hbar, \partial, \hat,  does not work. \alpha{x} -> alpha*x, an unexpected output.
323;Q16853908;i\gamma^a e_a^\mu D_\mu \Psi - m \Psi = 0;-;-;-;;;;;;;;;\gamma^a -> gamma**a, a^\mu -> a**mu, m \Psi -> Psi*m works well.
324;Q891408;U = \frac{1}{2}k \Delta x^2;\frac{1}{2}k \Delta x^2;;1*1/2*k*Delta*x**2;;;;;;;;;
325;Q849919;\vec{F} = q(\vec{E} + \vec{v} \times \vec{B});-;-;-;;\vec{x} -> x;;;;;;;"only ""v \times B"" works well. (a + b \times c) does not work."
326;Q103438301;\vec{F}_e = \frac{q_1 q_2}{4 \pi \epsilon_{0} r^2} \hat{r};-;-;-;;\hat{x} -> x;;;;;;;\pi -> pi, q_1 -> q_1, q_2 -> q_2, \epsilon_{0} -> epsilon_0 works. r^2 does not work.
327;Q103439852;E^2 = p^2c^2 + m^2c^4;-;-;-;;;;;;;;;E^2 (e^2 -> exp(2)), c^2, c^4 (but C^4 works well) does not work. p^2, m^2 works well.
